i,Ht,chi
19,2.0,0.17780984751880166
20,6.0,0.6662412509322165
21,6.0,0.47713831067085255
22,6.0,0.41943318210542196
23,6.0,0.4704821626655757
24,6.0,0.3258169963955879
25,6.0,0.38781878771260375
26,6.0,0.42898132652044285
27,6.0,0.35808344557881355
28,6.0,0.42091259639710177
29,6.0,0.3195132021792233
0,6.0,0.5327908731997012
1,6.0,0.35550304409116495
2,6.0,0.330016090767458
3,6.0,0.3152439514524303
4,6.0,0.3612595277372747
5,6.0,0.324628360569477
6,6.0,0.3467014217749238
7,6.0,0.2456689735408872
8,6.0,0.3826506126206367
9,6.0,0.3370479652658104
10,2.0,0.5037176627665757
11,2.0,0.5114942751824855
12,2.0,0.29849721398204554
13,2.0,-0.016034100670367483
14,2.0,-0.03179478086531162
15,2.0,0.3461933642684016
16,2.0,0.054889142513275126
17,2.0,0.014895023778080937
18,2.0,0.0661548227071762
19,2.0,0.2553170276805758
20,6.0,0.39375728182494635
21,6.0,0.3133486986625939
22,6.0,0.43221377767622465
23,6.0,0.31060765893198544
24,6.0,0.2899437621235847
25,6.0,0.3825531397014855
26,6.0,0.3402191158384084
27,6.0,0.3334933035075664
28,6.0,0.27044094726443285
29,6.0,0.3801590576767921
0,6.0,0.5411067567765713
1,6.0,0.4092707443051039
2,6.0,0.4807141572237014
3,6.0,0.3912725746631621
4,6.0,0.34884428977966303
5,6.0,0.46103076077997673
6,6.0,0.43048919737339014
7,6.0,0.4215911952778696
8,6.0,0.45008080452680577
9,6.0,0.38074647635221476
10,2.0,0.40315969288349146
11,2.0,0.34242989122867573
12,2.0,0.44636467844247807
13,2.0,0.4799077287316321
14,2.0,0.4536162242293357
15,2.0,0.4952211454510688
16,2.0,0.4888309240341186
17,2.0,0.46820434927940363
18,2.0,0.42405549436807627
19,2.0,0.2747358195483684
20,6.0,0.3165556136518716
21,6.0,0.4393781311810016
22,6.0,0.43792993947863573
23,6.0,0.414058793336153
24,6.0,0.3683128952980041
25,6.0,0.37305463850498194
26,6.0,0.417902361601591
27,6.0,0.28795649576932186
28,6.0,0.37166036618873466
29,6.0,0.3856612220406532
0,6.0,0.5885901427827774
1,6.0,0.5412649065256118
2,6.0,0.3139529200270771
3,6.0,0.518163340166211
4,6.0,0.39400437346193934
5,6.0,0.33900734875351185
6,6.0,0.3215965908020734
7,6.0,0.3145165517926216
8,6.0,0.4572080895304679
9,6.0,0.44995491148438294
10,2.0,0.7398750521242617
11,2.0,0.31999664753675455
12,2.0,0.2979767099022865
13,2.0,0.18698714114725587
14,2.0,-0.06717780930921435
15,2.0,0.0143905971199274
16,2.0,0.4495565285906195
17,2.0,0.3755244119092821
18,2.0,0.3556183539330959
19,2.0,0.379086423665285
20,6.0,0.5547566264867781
21,6.0,0.4238247191533445
22,6.0,0.40431654732674355
23,6.0,0.34613008331507433
24,6.0,0.42966443952172984
25,6.0,0.3812742354348301
26,6.0,0.33472402906045307
27,6.0,0.4308361625298857
28,6.0,0.37992210476659233
29,6.0,0.4142003852175548
0,6.0,0.5364289414137601
1,6.0,0.42673048749566067
2,6.0,0.5161007624119519
3,6.0,0.3007065784186124
4,6.0,0.2715812716633081
