Ht,chi,gamma,direction
5.6,0.47616976266726846,1e-07,up
5.8,0.31380255520343775,1e-07,up
6.0,0.1879307478666305,1e-07,up
6.2,0.288300696760416,1e-07,up
6.4,0.17788170650601381,1e-07,up
6.6,0.19509733654558656,1e-07,up
6.8,0.6726235859096049,1e-07,up
7.0,0.34127065073698754,1e-07,up
7.2,0.5446083694696425,1e-07,up
7.4,0.5157522880472242,1e-07,up
7.6,0.337139680981636,1e-07,up
7.8,0.32725549489259714,1e-07,up
8.0,0.08470156230032443,1e-07,up
8.0,0.2924512885510921,1e-07,down
7.8,0.4984983727335929,1e-07,down
7.6,0.5299724442884325,1e-07,down
7.4,0.6823941254988312,1e-07,down
7.2,0.5506985243409871,1e-07,down
7.0,0.4165198989212512,1e-07,down
6.8,0.4426727625541388,1e-07,down
6.6,0.44944522576406587,1e-07,down
6.4,0.5840755710378288,1e-07,down
6.2,0.7849245397374033,1e-07,down
6.0,0.31931006163358683,1e-07,down
5.8,0.8117841184139251,1e-07,down
5.6,0.3287895489484071,1e-07,down
5.4,0.3687159717082977,1e-07,down
5.2,0.22913455590605733,1e-07,down
5.0,0.06905893981456754,1e-07,down
4.8,0.5057995282113551,1e-07,down
4.6,0.0692228004336357,1e-07,down
4.4,0.6322057060897349,1e-07,down
4.2,0.28961155936121935,1e-07,down
4.0,0.3035143464803695,1e-07,down
3.8,0.3667245730757712,1e-07,down
3.6,0.7391579821705817,1e-07,down
3.4,0.7084996327757834,1e-07,down
3.2,0.0037071704864501957,1e-07,down
3.0,0.39365962147712696,1e-07,down
2.8,0.4280910044908523,1e-07,down
2.6,0.02593311667442321,1e-07,down
2.4,-0.021187096834182732,1e-07,down
2.2,-0.027615219354629513,1e-07,down
2.0,-0.008872300386428831,1e-07,down
1.8,0.00035429000854492166,1e-07,down
1.6,0.4577859640121459,1e-07,down
1.4,0.41712397336959833,1e-07,down
1.2,0.4372844994068145,1e-07,down
1.0,0.02215974032878875,1e-07,down
0.8,0.4301151186227798,1e-07,down
0.6,-0.004273504018783569,1e-07,down
0.4,-0.0009554326534271239,1e-07,down
0.2,0.3065928071737289,1e-07,down
-0.0,0.004449084401130675,1e-07,down
-0.0,0.004449084401130675,1e-07,up
0.2,-0.0003700405359268187,1e-07,up
0.4,-0.004158809781074523,1e-07,up
