k,corr
14,0.8727399577499421
15,0.858999546877864
16,0.8665136300294721
17,0.8694712956382318
18,0.8649249989483143
19,0.8600424618988978
20,0.8967144369434283
21,0.9391789735205058
22,0.9531020992646019
23,0.9495752272053929
24,0.9538638183675326
25,0.9577731792653841
26,0.9587938297897743
27,0.9579028332134449
28,0.9581083901760659
29,0.9578468716307299
10,0.9345238522981882
11,0.8820125183955367
12,0.8717579276732652
13,0.8669451013099847
14,0.8617396341570466
15,0.8598329159740402
16,0.8577341586591751
17,0.8547035203405656
18,0.8490127146177281
19,0.8480679588700054
20,0.8922935521453427
21,0.9353696164758905
22,0.9432804752424719
23,0.9452811417086938
24,0.94289789778695
25,0.9487312647447652
26,0.9482023688610989
27,0.9492811862743386
28,0.9484419546439297
29,0.9460341920695354
10,0.9009774758340919
11,0.8589553636038761
12,0.8515116681683684
13,0.8414658227007026
14,0.8368780618650227
15,0.8370101452726697
16,0.8385969897394897
17,0.8326186879057378
18,0.8344941761201776
19,0.8337227118105716
20,0.8871221565627806
21,0.9247797627941665
22,0.9338507682944787
23,0.9372150021553981
24,0.9319502372497356
25,0.9292040701661245
26,0.9352404888422233
27,0.9396606583545497
28,0.9377707154216381
29,0.9340832235153131
10,0.9141232964672209
11,0.8783013275531328
12,0.862182866372619
13,0.8551593431894361
14,0.8526596588547306
15,0.8517645219676122
16,0.8544419278215184
17,0.8502803051354949
18,0.8433954121753098
19,0.8395565057275045
20,0.8841623049580678
21,0.9212521513791089
22,0.9227856605441982
23,0.9230268955328033
24,0.922394145670288
25,0.924431450899083
26,0.9249154151799726
27,0.9257383522454885
28,0.9319228372630353
29,0.93068197161566
10,0.9145773005333897
11,0.8769487440151549
12,0.8665174970643846
13,0.8709877428073807
14,0.8620794838448258
15,0.8541542937552705
16,0.8567797861729275
17,0.8607880440147071
18,0.8519790866150899
19,0.8440437477220968
20,0.8850234120461884
21,0.933973125408832
22,0.94242507669737
23,0.935892158628538
24,0.9280237101417039
25,0.9349462527616013
26,0.9276224733622028
27,0.9334576188745155
28,0.9248174954481501
29,0.9208554116838013
10,0.9050009994314323
11,0.8418796252902192
12,0.834174643720835
13,0.831379435998963
14,0.8221322043512498
15,0.8134807866424385
16,0.8053063294241387
17,0.801734097833658
18,0.7927695874901063
19,0.7992535765236403
20,0.8545595433927152
21,0.9027254559506304
22,0.9119789885029921
23,0.9181376025990137
24,0.9238484954209474
25,0.9245156585601517
26,0.9283408851662156
27,0.9295927084564406
28,0.9288881938252216
29,0.9311576590556297
10,0.8998554397664279
11,0.8484322780909853
12,0.8317736211346144
13,0.8149657490305244
14,0.8129117585730004
15,0.81033809054918
16,0.8081264534893352
17,0.8070508559613263
18,0.8054840121696138
19,0.8025755900967801
20,0.8360566469160279
21,0.8684457460006854
22,0.8719648703738777
23,0.8677984684439985
24,0.8671736723480808
25,0.8727194577051588
26,0.8748321667486527
27,0.8825518788229993
28,0.8870332521412116
29,0.8870782151116771
10,0.9007237700072117
11,0.8500955258173043
12,0.841788365651891
13,0.8373735418882797
14,0.8244410835963771
15,0.8138137092202585
16,0.8118774204111162
17,0.7970681900053508
18,0.7957121774966334
19,0.7925694950650546
20,0.8493730134632272
21,0.8943154939273343
22,0.9062010886111992
23,0.9133868214199719
24,0.9150300520604752
25,0.9123963386257345
26,0.9124233736471723
27,0.9045431062358803
28,0.9044838295448079
29,0.9163231714069375
10,0.8878069849123111
11,0.8362732441805004
